history:GTC_Multisite_Inwi/LAR_ONE MARCHE Split C

Timestamp,Trend Flags,Status,Value
31-Jan-25 10:27:21 AM WEST,{start},{ok},OFF
11-Feb-25 11:37:28 AM WEST,{start},{ok},OFF
12-Feb-25 2:26:00 AM WEST,{ },{down},OFF
12-Feb-25 2:54:14 AM WEST,{ },{ok},OFF
13-Feb-25 11:01:16 AM WEST,{ },{ok},ON
13-Feb-25 11:01:39 AM WEST,{ },{ok},OFF
13-Feb-25 11:03:00 AM WEST,{ },{ok},ON
13-Feb-25 11:03:11 AM WEST,{ },{ok},OFF
13-Feb-25 11:40:40 AM WEST,{ },{ok},ON
13-Feb-25 11:40:51 AM WEST,{ },{ok},OFF
13-Feb-25 3:38:43 PM WEST,{start},{ok},OFF
13-Feb-25 4:42:35 PM WEST,{start},{ok},OFF
14-Feb-25 9:28:35 AM WEST,{start},{ok},OFF
20-Feb-25 8:58:50 AM WEST,{start},{ok},OFF
20-Feb-25 9:00:32 AM WEST,{start},{ok},OFF
21-Feb-25 2:02:06 AM WEST,{ },{ok},ON
21-Feb-25 2:02:12 AM WEST,{ },{ok},OFF
21-Feb-25 2:08:16 AM WEST,{ },{ok},ON
21-Feb-25 2:08:20 AM WEST,{ },{ok},OFF
26-Feb-25 2:16:33 AM WET,{ },{down},OFF
26-Feb-25 2:21:36 AM WET,{ },{ok},OFF
28-Feb-25 1:52:57 AM WET,{ },{down},OFF
28-Feb-25 1:58:07 AM WET,{ },{ok},OFF
09-Apr-25 4:23:38 PM WEST,{start},{ok},OFF
13-Apr-25 8:05:42 PM WEST,{start},{ok},OFF
23-Apr-25 12:10:54 PM WEST,{start},{ok},OFF
07-May-25 3:06:08 PM WEST,{ },{down},OFF
07-May-25 3:11:08 PM WEST,{ },{ok},OFF
20-May-25 9:01:32 AM WEST,{start},{ok},OFF
27-May-25 2:53:22 PM WEST,{ },{ok},ON
27-May-25 2:54:44 PM WEST,{ },{ok},OFF
27-May-25 2:54:54 PM WEST,{ },{ok},ON
27-May-25 2:56:06 PM WEST,{ },{ok},OFF
27-May-25 2:56:30 PM WEST,{ },{ok},ON
27-May-25 3:35:17 PM WEST,{ },{ok},OFF
27-May-25 3:38:06 PM WEST,{ },{ok},ON
28-May-25 9:55:25 AM WEST,{ },{ok},OFF
28-May-25 9:55:27 AM WEST,{ },{ok},ON
03-Jun-25 9:48:49 AM WEST,{ },{ok},OFF
03-Jun-25 11:47:54 AM WEST,{ },{ok},ON
03-Jun-25 1:48:08 PM WEST,{ },{ok},OFF
03-Jun-25 3:47:21 PM WEST,{ },{ok},ON
03-Jun-25 3:55:59 PM WEST,{ },{ok},OFF
03-Jun-25 3:56:09 PM WEST,{ },{ok},ON
03-Jun-25 6:42:30 PM WEST,{ },{ok},OFF
03-Jun-25 8:43:00 PM WEST,{ },{ok},ON
04-Jun-25 3:14:53 AM WEST,{ },{ok},OFF
04-Jun-25 5:36:15 AM WEST,{ },{ok},ON
04-Jun-25 7:37:27 AM WEST,{ },{ok},OFF
04-Jun-25 9:35:08 AM WEST,{ },{ok},ON
04-Jun-25 11:35:11 AM WEST,{ },{ok},OFF
04-Jun-25 1:36:51 PM WEST,{ },{ok},ON
04-Jun-25 3:36:54 PM WEST,{ },{ok},OFF
04-Jun-25 5:37:40 PM WEST,{ },{ok},ON
04-Jun-25 7:39:34 PM WEST,{ },{ok},OFF
04-Jun-25 9:36:27 PM WEST,{ },{ok},ON
04-Jun-25 11:38:08 PM WEST,{ },{ok},OFF
05-Jun-25 1:36:45 AM WEST,{ },{ok},ON
05-Jun-25 3:36:01 AM WEST,{ },{ok},OFF
05-Jun-25 5:36:15 AM WEST,{ },{ok},ON
05-Jun-25 7:36:59 AM WEST,{ },{ok},OFF
05-Jun-25 9:36:21 AM WEST,{ },{ok},ON
05-Jun-25 11:38:21 AM WEST,{ },{ok},OFF
05-Jun-25 1:37:13 PM WEST,{ },{ok},ON
05-Jun-25 3:38:07 PM WEST,{ },{ok},OFF
05-Jun-25 5:37:01 PM WEST,{ },{ok},ON
05-Jun-25 7:37:04 PM WEST,{ },{ok},OFF
05-Jun-25 9:36:21 PM WEST,{ },{ok},ON
05-Jun-25 11:37:29 PM WEST,{ },{ok},OFF
06-Jun-25 1:37:35 AM WEST,{ },{ok},ON
06-Jun-25 3:38:37 AM WEST,{ },{ok},OFF
06-Jun-25 5:36:27 AM WEST,{ },{ok},ON
06-Jun-25 7:37:40 AM WEST,{ },{ok},OFF
06-Jun-25 9:35:23 AM WEST,{ },{ok},ON
06-Jun-25 11:35:34 AM WEST,{ },{ok},OFF
06-Jun-25 1:37:02 PM WEST,{ },{ok},ON
06-Jun-25 3:37:10 PM WEST,{ },{ok},OFF
06-Jun-25 5:37:53 PM WEST,{ },{ok},ON
06-Jun-25 7:39:40 PM WEST,{ },{ok},OFF
06-Jun-25 9:36:33 PM WEST,{ },{ok},ON
06-Jun-25 11:38:11 PM WEST,{ },{ok},OFF
07-Jun-25 1:36:43 AM WEST,{ },{ok},ON
07-Jun-25 3:35:56 AM WEST,{ },{ok},OFF
07-Jun-25 5:36:09 AM WEST,{ },{ok},ON
07-Jun-25 7:36:50 AM WEST,{ },{ok},OFF
07-Jun-25 9:36:19 AM WEST,{ },{ok},ON
07-Jun-25 11:38:11 AM WEST,{ },{ok},OFF
07-Jun-25 1:37:09 PM WEST,{ },{ok},ON
07-Jun-25 3:37:56 PM WEST,{ },{ok},OFF
07-Jun-25 5:36:57 PM WEST,{ },{ok},ON
07-Jun-25 7:36:51 PM WEST,{ },{ok},OFF
07-Jun-25 9:36:18 PM WEST,{ },{ok},ON
07-Jun-25 11:37:19 PM WEST,{ },{ok},OFF
08-Jun-25 1:37:29 AM WEST,{ },{ok},ON
08-Jun-25 3:38:27 AM WEST,{ },{ok},OFF
