history:GTC_Multisite_Inwi/LAR_ONE T°_AMBIANTE

Timestamp,Trend Flags,Status,Value (°C)
31-Jan-25 10:45:00 AM WEST,{start},{ok},25.3
31-Jan-25 11:00:00 AM WEST,{ },{ok},25.3
31-Jan-25 11:15:00 AM WEST,{ },{ok},25.3
31-Jan-25 11:30:01 AM WEST,{ },{ok},25.3
31-Jan-25 11:45:01 AM WEST,{ },{ok},25.3
31-Jan-25 12:00:02 PM WEST,{ },{ok},25.3
31-Jan-25 12:15:00 PM WEST,{ },{ok},25.3
31-Jan-25 12:30:00 PM WEST,{ },{ok},25.4
31-Jan-25 12:45:00 PM WEST,{ },{ok},25.5
31-Jan-25 1:00:01 PM WEST,{ },{ok},25.6
31-Jan-25 1:15:01 PM WEST,{ },{ok},25.6
31-Jan-25 1:30:00 PM WEST,{ },{ok},25.7
31-Jan-25 1:45:01 PM WEST,{ },{ok},25.8
31-Jan-25 2:00:01 PM WEST,{ },{ok},25.9
31-Jan-25 2:15:01 PM WEST,{ },{ok},25.9
31-Jan-25 2:30:01 PM WEST,{ },{ok},26.0
31-Jan-25 2:45:01 PM WEST,{ },"{alarm,unackedAlarm}",26.0
31-Jan-25 3:00:01 PM WEST,{ },"{alarm,unackedAlarm}",26.1
31-Jan-25 3:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.3
31-Jan-25 3:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.3
31-Jan-25 3:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.4
31-Jan-25 4:00:00 PM WEST,{ },"{alarm,unackedAlarm}",26.7
31-Jan-25 4:15:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
31-Jan-25 4:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
31-Jan-25 4:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
31-Jan-25 5:00:00 PM WEST,{ },"{alarm,unackedAlarm}",26.7
31-Jan-25 5:15:00 PM WEST,{ },"{alarm,unackedAlarm}",26.8
31-Jan-25 5:30:01 PM WEST,{ },"{alarm,unackedAlarm}",26.8
31-Jan-25 5:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 6:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 6:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 6:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 6:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.1
31-Jan-25 7:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 7:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 7:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 7:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 8:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 8:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 8:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 8:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 9:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.0
31-Jan-25 9:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.9
31-Jan-25 9:30:01 PM WEST,{ },"{alarm,unackedAlarm}",26.9
31-Jan-25 9:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.9
31-Jan-25 10:00:01 PM WEST,{ },"{alarm,unackedAlarm}",26.9
31-Jan-25 10:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.8
31-Jan-25 10:30:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
31-Jan-25 10:45:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
31-Jan-25 11:00:03 PM WEST,{ },"{alarm,unackedAlarm}",26.7
31-Jan-25 11:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.6
31-Jan-25 11:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
31-Jan-25 11:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.5
01-Feb-25 12:00:00 AM WEST,{ },"{alarm,unackedAlarm}",26.5
01-Feb-25 12:15:00 AM WEST,{ },"{alarm,unackedAlarm}",26.5
01-Feb-25 12:30:01 AM WEST,{ },"{alarm,unackedAlarm}",26.4
01-Feb-25 12:45:01 AM WEST,{ },"{alarm,unackedAlarm}",26.3
01-Feb-25 1:00:02 AM WEST,{ },"{alarm,unackedAlarm}",26.2
01-Feb-25 1:15:01 AM WEST,{ },"{alarm,unackedAlarm}",26.2
01-Feb-25 1:30:01 AM WEST,{ },"{alarm,unackedAlarm}",26.2
01-Feb-25 1:45:01 AM WEST,{ },"{alarm,unackedAlarm}",26.1
01-Feb-25 2:00:02 AM WEST,{ },"{alarm,unackedAlarm}",26.1
01-Feb-25 2:15:01 AM WEST,{ },"{alarm,unackedAlarm}",26.0
01-Feb-25 2:30:01 AM WEST,{ },{unackedAlarm},26.0
01-Feb-25 2:45:02 AM WEST,{ },{unackedAlarm},26.0
01-Feb-25 3:00:00 AM WEST,{ },{unackedAlarm},25.9
01-Feb-25 3:15:01 AM WEST,{ },{unackedAlarm},25.9
01-Feb-25 3:30:01 AM WEST,{ },{unackedAlarm},25.9
01-Feb-25 3:45:01 AM WEST,{ },{unackedAlarm},25.8
01-Feb-25 4:00:00 AM WEST,{ },{unackedAlarm},25.7
01-Feb-25 4:15:01 AM WEST,{ },{unackedAlarm},25.7
01-Feb-25 4:30:01 AM WEST,{ },{unackedAlarm},25.6
01-Feb-25 4:45:01 AM WEST,{ },{unackedAlarm},25.6
01-Feb-25 5:00:01 AM WEST,{ },{unackedAlarm},25.5
01-Feb-25 5:15:01 AM WEST,{ },{unackedAlarm},25.4
01-Feb-25 5:30:00 AM WEST,{ },{unackedAlarm},25.4
01-Feb-25 5:45:01 AM WEST,{ },{unackedAlarm},25.4
01-Feb-25 6:00:01 AM WEST,{ },{unackedAlarm},25.3
01-Feb-25 6:15:00 AM WEST,{ },{unackedAlarm},25.4
01-Feb-25 6:30:01 AM WEST,{ },{unackedAlarm},25.4
01-Feb-25 6:45:00 AM WEST,{ },{unackedAlarm},25.3
01-Feb-25 7:00:00 AM WEST,{ },{unackedAlarm},25.3
01-Feb-25 7:15:00 AM WEST,{ },{unackedAlarm},25.3
01-Feb-25 7:30:00 AM WEST,{ },{unackedAlarm},25.3
01-Feb-25 7:45:00 AM WEST,{ },{unackedAlarm},25.2
01-Feb-25 8:00:01 AM WEST,{ },{unackedAlarm},25.2
01-Feb-25 8:15:00 AM WEST,{ },{unackedAlarm},25.2
01-Feb-25 8:30:02 AM WEST,{ },{unackedAlarm},25.1
01-Feb-25 8:45:00 AM WEST,{ },{unackedAlarm},25.1
01-Feb-25 9:00:01 AM WEST,{ },{unackedAlarm},25.1
01-Feb-25 9:15:01 AM WEST,{ },{unackedAlarm},25.1
01-Feb-25 9:30:03 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 9:45:02 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 10:00:01 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 10:15:01 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 10:30:01 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 10:45:01 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 11:00:01 AM WEST,{ },{unackedAlarm},24.9
01-Feb-25 11:15:00 AM WEST,{ },{unackedAlarm},24.9
01-Feb-25 11:30:00 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 11:45:02 AM WEST,{ },{unackedAlarm},25.0
01-Feb-25 12:00:01 PM WEST,{ },{unackedAlarm},25.0
01-Feb-25 12:15:00 PM WEST,{ },{unackedAlarm},25.0
01-Feb-25 12:30:00 PM WEST,{ },{unackedAlarm},25.1
01-Feb-25 12:45:02 PM WEST,{ },{unackedAlarm},25.1
01-Feb-25 1:00:01 PM WEST,{ },{unackedAlarm},25.1
01-Feb-25 1:15:00 PM WEST,{ },{unackedAlarm},25.2
01-Feb-25 1:30:00 PM WEST,{ },{unackedAlarm},25.3
01-Feb-25 1:45:00 PM WEST,{ },{unackedAlarm},25.4
01-Feb-25 2:00:00 PM WEST,{ },{unackedAlarm},25.5
01-Feb-25 2:15:00 PM WEST,{ },{unackedAlarm},25.6
01-Feb-25 2:30:00 PM WEST,{ },{unackedAlarm},25.7
01-Feb-25 2:45:00 PM WEST,{ },{unackedAlarm},25.8
01-Feb-25 3:00:00 PM WEST,{ },{unackedAlarm},25.9
01-Feb-25 3:15:01 PM WEST,{ },{unackedAlarm},26.0
01-Feb-25 3:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.0
01-Feb-25 3:45:01 PM WEST,{ },"{alarm,unackedAlarm}",26.1
01-Feb-25 4:00:01 PM WEST,{ },"{alarm,unackedAlarm}",26.2
01-Feb-25 4:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.2
01-Feb-25 4:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.3
01-Feb-25 4:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.3
01-Feb-25 5:00:00 PM WEST,{ },"{alarm,unackedAlarm}",26.4
01-Feb-25 5:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.5
01-Feb-25 5:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
01-Feb-25 5:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
01-Feb-25 6:00:00 PM WEST,{ },"{alarm,unackedAlarm}",26.6
01-Feb-25 6:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
01-Feb-25 6:30:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
01-Feb-25 6:45:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
01-Feb-25 7:00:00 PM WEST,{ },"{alarm,unackedAlarm}",26.8
