history:GTC_Multisite_Inwi/TAN-MCO Contact PORTE 1

Timestamp,Trend Flags,Status,Value
07-Jan-25 10:15:33 AM WEST,{start},{ok},Fermé
07-Jan-25 10:30:48 AM WEST,{ },{ok},Ouvert
07-Jan-25 10:30:51 AM WEST,{ },{ok},Fermé
07-Jan-25 10:34:22 AM WEST,{ },{ok},Ouvert
07-Jan-25 10:34:25 AM WEST,{ },{ok},Fermé
07-Jan-25 2:06:33 PM WEST,{ },{ok},Ouvert
07-Jan-25 2:07:25 PM WEST,{ },{ok},Fermé
07-Jan-25 2:08:39 PM WEST,{ },{ok},Ouvert
07-Jan-25 2:09:13 PM WEST,{ },{ok},Fermé
07-Jan-25 4:38:50 PM WEST,{ },{ok},Ouvert
07-Jan-25 4:38:55 PM WEST,{ },{ok},Fermé
07-Jan-25 4:46:56 PM WEST,{ },{ok},Ouvert
07-Jan-25 5:08:30 PM WEST,{ },{ok},Fermé
07-Jan-25 6:15:29 PM WEST,{ },{ok},Ouvert
07-Jan-25 6:15:32 PM WEST,{ },{ok},Fermé
07-Jan-25 6:25:22 PM WEST,{ },{ok},Ouvert
07-Jan-25 6:25:26 PM WEST,{ },{ok},Fermé
07-Jan-25 7:20:29 PM WEST,{ },{ok},Ouvert
07-Jan-25 7:49:06 PM WEST,{ },{ok},Fermé
07-Jan-25 7:50:21 PM WEST,{ },{ok},Ouvert
07-Jan-25 7:50:24 PM WEST,{ },{ok},Fermé
08-Jan-25 2:14:21 AM WEST,{ },{ok},Ouvert
08-Jan-25 2:28:26 AM WEST,{ },{ok},Fermé
08-Jan-25 4:14:38 AM WEST,{ },{ok},Ouvert
08-Jan-25 4:16:02 AM WEST,{ },{ok},Fermé
08-Jan-25 6:12:39 AM WEST,{ },{ok},Ouvert
08-Jan-25 6:16:50 AM WEST,{ },{ok},Fermé
08-Jan-25 6:23:22 AM WEST,{ },{ok},Ouvert
08-Jan-25 6:24:51 AM WEST,{ },{ok},Fermé
08-Jan-25 6:24:52 AM WEST,{ },{ok},Ouvert
08-Jan-25 8:50:22 AM WEST,{ },{ok},Fermé
08-Jan-25 3:21:57 PM WEST,{ },{ok},Ouvert
08-Jan-25 3:22:00 PM WEST,{ },{ok},Fermé
08-Jan-25 3:43:00 PM WEST,{ },{ok},Ouvert
08-Jan-25 3:43:03 PM WEST,{ },{ok},Fermé
08-Jan-25 4:48:47 PM WEST,{ },{ok},Ouvert
08-Jan-25 4:48:50 PM WEST,{ },{ok},Fermé
08-Jan-25 4:53:50 PM WEST,{ },{ok},Ouvert
08-Jan-25 4:53:52 PM WEST,{ },{ok},Fermé
08-Jan-25 5:10:43 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:14:39 PM WEST,{ },{ok},Fermé
08-Jan-25 5:17:23 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:20:27 PM WEST,{ },{ok},Fermé
08-Jan-25 5:20:50 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:21:20 PM WEST,{ },{ok},Fermé
08-Jan-25 5:22:02 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:24:54 PM WEST,{ },{ok},Fermé
08-Jan-25 5:25:17 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:25:24 PM WEST,{ },{ok},Fermé
08-Jan-25 5:25:34 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:25:44 PM WEST,{ },{ok},Fermé
08-Jan-25 5:26:50 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:27:08 PM WEST,{ },{ok},Fermé
08-Jan-25 5:27:19 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:27:27 PM WEST,{ },{ok},Fermé
08-Jan-25 5:28:38 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:34:38 PM WEST,{ },{ok},Fermé
08-Jan-25 6:24:59 PM WEST,{ },{ok},Ouvert
08-Jan-25 6:25:03 PM WEST,{ },{ok},Fermé
08-Jan-25 6:31:55 PM WEST,{ },{ok},Ouvert
08-Jan-25 6:32:34 PM WEST,{ },{ok},Fermé
09-Jan-25 3:52:43 AM WEST,{ },{ok},Ouvert
09-Jan-25 3:57:01 AM WEST,{ },{ok},Fermé
09-Jan-25 6:08:03 AM WEST,{ },{ok},Ouvert
09-Jan-25 6:11:53 AM WEST,{ },{ok},Fermé
09-Jan-25 9:20:32 AM WEST,{ },{ok},Ouvert
09-Jan-25 9:20:45 AM WEST,{ },{ok},Fermé
09-Jan-25 11:22:48 AM WEST,{ },{ok},Ouvert
09-Jan-25 12:29:18 PM WEST,{ },{ok},Fermé
09-Jan-25 12:29:19 PM WEST,{ },{ok},Ouvert
09-Jan-25 12:51:52 PM WEST,{ },{ok},Fermé
09-Jan-25 12:52:05 PM WEST,{ },{ok},Ouvert
09-Jan-25 12:53:53 PM WEST,{ },{ok},Fermé
09-Jan-25 4:39:06 PM WEST,{ },{ok},Ouvert
09-Jan-25 4:39:09 PM WEST,{ },{ok},Fermé
09-Jan-25 4:44:41 PM WEST,{ },{ok},Ouvert
09-Jan-25 4:45:15 PM WEST,{ },{ok},Fermé
09-Jan-25 5:38:24 PM WEST,{ },{ok},Ouvert
09-Jan-25 5:38:25 PM WEST,{ },{ok},Fermé
