history:GTC_Multisite_Inwi/TET_MCO Contact Porte

Timestamp,Trend Flags,Status,Value
01-Feb-25 11:04:12 AM WEST,{start},{ok},Fermé
01-Feb-25 8:22:25 PM WEST,{ },{ok},Ouvert
01-Feb-25 8:23:11 PM WEST,{ },{ok},Fermé
01-Feb-25 8:40:36 PM WEST,{ },{ok},Ouvert
01-Feb-25 8:40:45 PM WEST,{ },{ok},Fermé
02-Feb-25 8:24:43 AM WEST,{ },{ok},Ouvert
02-Feb-25 8:24:49 AM WEST,{ },{ok},Fermé
02-Feb-25 8:26:47 AM WEST,{ },{ok},Ouvert
02-Feb-25 8:27:00 AM WEST,{ },{ok},Fermé
02-Feb-25 8:23:52 PM WEST,{ },{ok},Ouvert
02-Feb-25 8:25:18 PM WEST,{ },{ok},Fermé
02-Feb-25 8:41:13 PM WEST,{ },{ok},Ouvert
02-Feb-25 8:41:21 PM WEST,{ },{ok},Fermé
03-Feb-25 8:25:21 AM WEST,{ },{ok},Ouvert
03-Feb-25 8:25:27 AM WEST,{ },{ok},Fermé
03-Feb-25 8:31:45 AM WEST,{ },{ok},Ouvert
03-Feb-25 8:31:46 AM WEST,{ },{ok},Fermé
03-Feb-25 8:32:09 AM WEST,{ },{ok},Ouvert
03-Feb-25 8:33:44 AM WEST,{ },{ok},Fermé
03-Feb-25 9:40:18 AM WEST,{ },{ok},Ouvert
03-Feb-25 9:40:22 AM WEST,{ },{ok},Fermé
03-Feb-25 1:54:09 PM WEST,{ },{ok},Ouvert
03-Feb-25 1:54:23 PM WEST,{ },{ok},Fermé
03-Feb-25 2:03:20 PM WEST,{ },{ok},Ouvert
03-Feb-25 2:03:28 PM WEST,{ },{ok},Fermé
03-Feb-25 2:09:00 PM WEST,{ },{ok},Ouvert
03-Feb-25 2:09:04 PM WEST,{ },{ok},Fermé
03-Feb-25 2:45:21 PM WEST,{ },{ok},Ouvert
03-Feb-25 2:46:53 PM WEST,{ },{ok},Fermé
03-Feb-25 2:49:26 PM WEST,{ },{ok},Ouvert
03-Feb-25 2:50:03 PM WEST,{ },{ok},Fermé
03-Feb-25 4:13:24 PM WEST,{ },{ok},Ouvert
03-Feb-25 4:14:09 PM WEST,{ },{ok},Fermé
03-Feb-25 4:16:09 PM WEST,{ },{ok},Ouvert
03-Feb-25 4:16:21 PM WEST,{ },{ok},Fermé
03-Feb-25 8:37:06 PM WEST,{ },{ok},Ouvert
03-Feb-25 8:38:25 PM WEST,{ },{ok},Fermé
04-Feb-25 8:27:46 AM WEST,{ },{ok},Ouvert
04-Feb-25 8:27:52 AM WEST,{ },{ok},Fermé
04-Feb-25 8:37:24 AM WEST,{ },{ok},Ouvert
04-Feb-25 8:37:29 AM WEST,{ },{ok},Fermé
04-Feb-25 1:43:02 PM WEST,{ },{ok},Ouvert
04-Feb-25 1:43:07 PM WEST,{ },{ok},Fermé
04-Feb-25 1:50:17 PM WEST,{ },{ok},Ouvert
04-Feb-25 1:50:20 PM WEST,{ },{ok},Fermé
04-Feb-25 2:13:03 PM WEST,{ },{ok},Ouvert
04-Feb-25 2:13:07 PM WEST,{ },{ok},Fermé
04-Feb-25 3:09:58 PM WEST,{ },{ok},Ouvert
04-Feb-25 3:10:11 PM WEST,{ },{ok},Fermé
04-Feb-25 3:21:08 PM WEST,{ },{ok},Ouvert
04-Feb-25 3:21:13 PM WEST,{ },{ok},Fermé
04-Feb-25 4:30:52 PM WEST,{ },{ok},Ouvert
04-Feb-25 4:30:56 PM WEST,{ },{ok},Fermé
04-Feb-25 4:42:34 PM WEST,{ },{ok},Ouvert
04-Feb-25 4:42:50 PM WEST,{ },{ok},Fermé
04-Feb-25 7:25:38 PM WEST,{ },{ok},Ouvert
04-Feb-25 7:26:21 PM WEST,{ },{ok},Fermé
04-Feb-25 8:24:59 PM WEST,{ },{ok},Ouvert
04-Feb-25 8:26:42 PM WEST,{ },{ok},Fermé
04-Feb-25 8:45:35 PM WEST,{ },{ok},Ouvert
04-Feb-25 8:45:50 PM WEST,{ },{ok},Fermé
05-Feb-25 8:23:53 AM WEST,{ },{ok},Ouvert
05-Feb-25 8:24:01 AM WEST,{ },{ok},Fermé
05-Feb-25 8:28:16 AM WEST,{ },{ok},Ouvert
05-Feb-25 8:28:20 AM WEST,{ },{ok},Fermé
05-Feb-25 7:51:15 PM WEST,{ },{ok},Ouvert
05-Feb-25 7:52:41 PM WEST,{ },{ok},Fermé
05-Feb-25 8:16:59 PM WEST,{ },{ok},Ouvert
05-Feb-25 8:17:23 PM WEST,{ },{ok},Fermé
06-Feb-25 8:20:12 AM WEST,{ },{ok},Ouvert
06-Feb-25 8:20:18 AM WEST,{ },{ok},Fermé
06-Feb-25 8:23:41 AM WEST,{ },{ok},Ouvert
06-Feb-25 8:25:05 AM WEST,{ },{ok},Fermé
06-Feb-25 8:21:35 PM WEST,{ },{ok},Ouvert
06-Feb-25 8:22:40 PM WEST,{ },{ok},Fermé
06-Feb-25 8:38:01 PM WEST,{ },{ok},Ouvert
06-Feb-25 8:38:06 PM WEST,{ },{ok},Fermé
07-Feb-25 8:41:13 AM WEST,{ },{ok},Ouvert
07-Feb-25 8:41:14 AM WEST,{ },{ok},Fermé
07-Feb-25 8:42:12 AM WEST,{ },{ok},Ouvert
07-Feb-25 8:42:17 AM WEST,{ },{ok},Fermé
07-Feb-25 8:44:29 AM WEST,{ },{ok},Ouvert
07-Feb-25 8:44:54 AM WEST,{ },{ok},Fermé
07-Feb-25 10:17:32 AM WEST,{ },{ok},Ouvert
07-Feb-25 10:17:39 AM WEST,{ },{ok},Fermé
07-Feb-25 11:23:06 AM WEST,{ },{ok},Ouvert
07-Feb-25 11:23:41 AM WEST,{ },{ok},Fermé
07-Feb-25 3:51:48 PM WEST,{ },{ok},Ouvert
07-Feb-25 3:51:53 PM WEST,{ },{ok},Fermé
07-Feb-25 3:58:56 PM WEST,{ },{ok},Ouvert
07-Feb-25 3:59:01 PM WEST,{ },{ok},Fermé
07-Feb-25 8:46:17 PM WEST,{ },{ok},Ouvert
07-Feb-25 8:46:19 PM WEST,{ },{ok},Fermé
07-Feb-25 9:17:46 PM WEST,{ },{ok},Ouvert
07-Feb-25 9:18:22 PM WEST,{ },{ok},Fermé
08-Feb-25 8:29:18 AM WEST,{ },{ok},Ouvert
08-Feb-25 8:29:25 AM WEST,{ },{ok},Fermé
08-Feb-25 8:31:19 AM WEST,{ },{ok},Ouvert
08-Feb-25 8:31:59 AM WEST,{ },{ok},Fermé
08-Feb-25 9:40:00 AM WEST,{ },{ok},Ouvert
08-Feb-25 9:40:18 AM WEST,{ },{ok},Fermé
08-Feb-25 9:44:32 AM WEST,{ },{ok},Ouvert
08-Feb-25 9:44:36 AM WEST,{ },{ok},Fermé
08-Feb-25 10:03:15 AM WEST,{ },{ok},Ouvert
08-Feb-25 10:03:28 AM WEST,{ },{ok},Fermé
08-Feb-25 1:50:06 PM WEST,{ },{ok},Ouvert
08-Feb-25 1:50:12 PM WEST,{ },{ok},Fermé
08-Feb-25 1:51:45 PM WEST,{ },{ok},Ouvert
08-Feb-25 1:52:01 PM WEST,{ },{ok},Fermé
08-Feb-25 8:18:46 PM WEST,{ },{ok},Ouvert
08-Feb-25 8:18:50 PM WEST,{ },{ok},Fermé
08-Feb-25 8:38:14 PM WEST,{ },{ok},Ouvert
08-Feb-25 8:38:19 PM WEST,{ },{ok},Fermé
09-Feb-25 8:23:55 AM WEST,{ },{ok},Ouvert
09-Feb-25 8:23:59 AM WEST,{ },{ok},Fermé
09-Feb-25 8:26:18 AM WEST,{ },{ok},Ouvert
09-Feb-25 8:26:21 AM WEST,{ },{ok},Fermé
09-Feb-25 9:37:30 AM WEST,{ },{ok},Ouvert
09-Feb-25 9:39:23 AM WEST,{ },{ok},Fermé
09-Feb-25 8:17:54 PM WEST,{ },{ok},Ouvert
09-Feb-25 8:18:00 PM WEST,{ },{ok},Fermé
09-Feb-25 8:32:00 PM WEST,{ },{ok},Ouvert
09-Feb-25 8:32:36 PM WEST,{ },{ok},Fermé
10-Feb-25 8:14:46 AM WEST,{ },{ok},Ouvert
10-Feb-25 8:14:51 AM WEST,{ },{ok},Fermé
10-Feb-25 8:24:25 AM WEST,{ },{ok},Ouvert
10-Feb-25 8:24:30 AM WEST,{ },{ok},Fermé
10-Feb-25 9:20:25 AM WEST,{ },{ok},Ouvert
10-Feb-25 9:20:31 AM WEST,{ },{ok},Fermé
