history:GTC_Multisite_Inwi/TET_ONE Contact Porte

Timestamp,Trend Flags,Status,Value
31-Jan-25 4:17:37 PM WEST,{start},{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:12 AM WEST,{ },{ok},Fermé
12-Feb-25 9:13:31 AM WEST,{ },{ok},Ouvert
12-Feb-25 9:13:32 AM WEST,{ },{ok},Fermé
12-Feb-25 9:13:33 AM WEST,{ },{ok},Ouvert
12-Feb-25 9:52:47 AM WEST,{ },{ok},Fermé
12-Feb-25 10:02:22 AM WEST,{ },{ok},Ouvert
12-Feb-25 10:04:22 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
21-Feb-25 11:54:47 AM WEST,{ },{ok},Ouvert
21-Feb-25 12:26:10 PM WEST,{ },{ok},Fermé
25-Feb-25 12:57:13 PM WET,{ },{ok},Ouvert
25-Feb-25 4:53:03 PM WET,{ },{ok},Fermé
25-Feb-25 4:53:05 PM WET,{ },{ok},Ouvert
25-Feb-25 4:53:07 PM WET,{ },{ok},Fermé
25-Feb-25 4:59:49 PM WET,{ },{ok},Ouvert
25-Feb-25 7:20:14 PM WET,{ },{ok},Fermé
26-Feb-25 2:16:35 AM WET,{ },{down},Fermé
26-Feb-25 2:21:43 AM WET,{ },{ok},Fermé
26-Feb-25 9:41:53 AM WET,{ },{ok},Ouvert
26-Feb-25 11:57:35 AM WET,{ },{ok},Fermé
26-Feb-25 11:58:16 AM WET,{ },{ok},Ouvert
26-Feb-25 2:22:06 PM WET,{ },{ok},Fermé
26-Feb-25 3:33:15 PM WET,{ },{ok},Ouvert
26-Feb-25 4:29:01 PM WET,{ },{ok},Fermé
27-Feb-25 4:44:31 PM WET,{ },{ok},Ouvert
27-Feb-25 5:02:55 PM WET,{ },{ok},Fermé
27-Feb-25 5:28:39 PM WET,{ },{ok},Ouvert
27-Feb-25 5:46:27 PM WET,{ },{ok},Fermé
27-Feb-25 11:57:53 PM WET,{ },{ok},Ouvert
28-Feb-25 12:21:17 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:54 AM WET,{ },{down},Fermé
28-Feb-25 1:57:55 AM WET,{ },{ok},Fermé
05-Mar-25 3:18:01 PM WET,{ },{ok},Ouvert
05-Mar-25 3:20:17 PM WET,{ },{ok},Fermé
06-Mar-25 1:30:09 PM WET,{ },{ok},Ouvert
06-Mar-25 1:35:48 PM WET,{ },{ok},Fermé
06-Mar-25 1:37:01 PM WET,{ },{ok},Ouvert
06-Mar-25 2:31:41 PM WET,{ },{ok},Fermé
06-Mar-25 2:31:43 PM WET,{ },{ok},Ouvert
06-Mar-25 2:31:44 PM WET,{ },{ok},Fermé
06-Mar-25 2:32:23 PM WET,{ },{ok},Ouvert
06-Mar-25 2:59:44 PM WET,{ },{ok},Fermé
13-Mar-25 6:02:20 AM WET,{ },{ok},Ouvert
13-Mar-25 6:02:33 AM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
16-Apr-25 11:56:54 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:56:55 AM WEST,{ },{ok},Fermé
16-Apr-25 11:56:56 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:56:58 AM WEST,{ },{ok},Fermé
16-Apr-25 11:57:01 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:57:02 AM WEST,{ },{ok},Fermé
16-Apr-25 11:58:02 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:58:04 AM WEST,{ },{ok},Fermé
16-Apr-25 11:58:31 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:58:42 AM WEST,{ },{ok},Fermé
16-Apr-25 11:58:44 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:58:48 AM WEST,{ },{ok},Fermé
16-Apr-25 11:59:18 AM WEST,{ },{ok},Ouvert
16-Apr-25 11:59:19 AM WEST,{ },{ok},Fermé
16-Apr-25 12:46:25 PM WEST,{ },{ok},Ouvert
16-Apr-25 3:33:36 PM WEST,{ },{ok},Fermé
17-Apr-25 12:14:16 PM WEST,{ },{ok},Ouvert
17-Apr-25 5:50:17 PM WEST,{ },{ok},Fermé
23-Apr-25 11:18:01 AM WEST,{ },{ok},Ouvert
23-Apr-25 12:10:54 PM WEST,{start},{ok},Ouvert
23-Apr-25 5:09:50 PM WEST,{ },{ok},Fermé
24-Apr-25 11:17:41 AM WEST,{ },{ok},Ouvert
24-Apr-25 12:25:08 PM WEST,{ },{ok},Fermé
24-Apr-25 5:17:47 PM WEST,{ },{ok},Ouvert
24-Apr-25 5:17:55 PM WEST,{ },{ok},Fermé
24-Apr-25 5:21:04 PM WEST,{ },{ok},Ouvert
24-Apr-25 5:24:38 PM WEST,{ },{ok},Fermé
24-Apr-25 5:46:45 PM WEST,{ },{ok},Ouvert
24-Apr-25 5:53:14 PM WEST,{ },{ok},Fermé
24-Apr-25 5:53:16 PM WEST,{ },{ok},Ouvert
24-Apr-25 5:53:17 PM WEST,{ },{ok},Fermé
24-Apr-25 5:56:59 PM WEST,{ },{ok},Ouvert
24-Apr-25 6:19:42 PM WEST,{ },{ok},Fermé
25-Apr-25 10:20:31 AM WEST,{ },{ok},Ouvert
25-Apr-25 11:15:04 AM WEST,{ },{ok},Fermé
25-Apr-25 11:37:13 AM WEST,{ },{ok},Ouvert
25-Apr-25 11:42:39 AM WEST,{ },{ok},Fermé
01-May-25 11:59:44 PM WEST,{ },{ok},Ouvert
02-May-25 12:35:07 AM WEST,{ },{ok},Fermé
02-May-25 11:21:16 AM WEST,{ },{ok},Ouvert
02-May-25 11:52:33 AM WEST,{ },{ok},Fermé
02-May-25 12:38:31 PM WEST,{ },{ok},Ouvert
02-May-25 12:38:39 PM WEST,{ },{ok},Fermé
02-May-25 12:38:45 PM WEST,{ },{ok},Ouvert
02-May-25 12:38:53 PM WEST,{ },{ok},Fermé
02-May-25 12:38:54 PM WEST,{ },{ok},Ouvert
02-May-25 1:03:58 PM WEST,{ },{ok},Fermé
02-May-25 1:16:22 PM WEST,{ },{ok},Ouvert
02-May-25 2:40:35 PM WEST,{ },{ok},Fermé
02-May-25 2:41:59 PM WEST,{ },{ok},Ouvert
02-May-25 2:42:00 PM WEST,{ },{ok},Fermé
02-May-25 2:42:11 PM WEST,{ },{ok},Ouvert
02-May-25 2:42:49 PM WEST,{ },{ok},Fermé
02-May-25 2:43:32 PM WEST,{ },{ok},Ouvert
02-May-25 2:43:33 PM WEST,{ },{ok},Fermé
16-May-25 3:16:37 PM WEST,{ },{ok},Ouvert
16-May-25 3:53:46 PM WEST,{ },{ok},Fermé
19-May-25 2:19:26 PM WEST,{ },{ok},Ouvert
19-May-25 2:19:29 PM WEST,{ },{ok},Fermé
19-May-25 2:19:49 PM WEST,{ },{ok},Ouvert
19-May-25 2:24:37 PM WEST,{ },{ok},Fermé
19-May-25 2:25:45 PM WEST,{ },{ok},Ouvert
19-May-25 2:25:46 PM WEST,{ },{ok},Fermé
19-May-25 2:26:04 PM WEST,{ },{ok},Ouvert
19-May-25 2:26:20 PM WEST,{ },{ok},Fermé
19-May-25 2:34:32 PM WEST,{ },{ok},Ouvert
19-May-25 2:34:38 PM WEST,{ },{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
20-May-25 12:09:25 PM WEST,{ },{ok},Ouvert
20-May-25 12:15:30 PM WEST,{ },{ok},Fermé
20-May-25 12:21:17 PM WEST,{ },{ok},Ouvert
20-May-25 12:24:05 PM WEST,{ },{ok},Fermé
22-May-25 2:30:22 PM WEST,{ },{ok},Ouvert
22-May-25 2:59:06 PM WEST,{ },{ok},Fermé
22-May-25 11:57:36 PM WEST,{ },{ok},Ouvert
23-May-25 12:03:01 AM WEST,{ },{ok},Fermé
27-May-25 5:27:43 PM WEST,{ },{ok},Ouvert
27-May-25 5:40:21 PM WEST,{ },{ok},Fermé
29-May-25 12:00:51 PM WEST,{ },{ok},Ouvert
29-May-25 5:01:31 PM WEST,{ },{ok},Fermé
31-May-25 9:15:33 AM WEST,{ },{ok},Ouvert
31-May-25 9:17:01 AM WEST,{ },{ok},Fermé
05-Jun-25 12:11:32 AM WEST,{ },{ok},Ouvert
05-Jun-25 1:07:24 AM WEST,{ },{ok},Fermé
05-Jun-25 1:07:42 AM WEST,{ },{ok},Ouvert
05-Jun-25 1:07:43 AM WEST,{ },{ok},Fermé
05-Jun-25 1:08:02 AM WEST,{ },{ok},Ouvert
05-Jun-25 1:08:05 AM WEST,{ },{ok},Fermé
05-Jun-25 1:08:18 AM WEST,{ },{ok},Ouvert
05-Jun-25 1:08:22 AM WEST,{ },{ok},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{ok},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{ok},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{ok},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{ok},Fermé
19-Jun-25 1:01:54 PM WEST,{ },{down},Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:49:58 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:49:58 AM WEST,{ },{ok},Fermé
25-Jun-25 9:31:42 AM WEST,{start},{ok},Fermé
