file,relative,table_name,columns
data\Agadir\AGA-MCO\Etat CLIM A.csv,Agadir\AGA-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\Etat CLIM B.csv,Agadir\AGA-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\Etat CLIM C.csv,Agadir\AGA-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\Etat CLIM D.csv,Agadir\AGA-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\Etat Porte.csv,Agadir\AGA-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\P.Active CLIM.csv,Agadir\AGA-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-MCO\P.Active Générale.csv,Agadir\AGA-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-MCO\Température Ambiante.csv,Agadir\AGA-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-MCO\Température Extérieure.csv,Agadir\AGA-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Etat CLIM A.csv,Agadir\AGA-ONE1\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Etat CLIM B.csv,Agadir\AGA-ONE1\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Etat CLIM C.csv,Agadir\AGA-ONE1\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Etat CLIM D.csv,Agadir\AGA-ONE1\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Etat Porte.csv,Agadir\AGA-ONE1\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\P.Active CLIM.csv,Agadir\AGA-ONE1\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-ONE1\P.Active Générale.csv,Agadir\AGA-ONE1\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-ONE1\Température Ambiante.csv,Agadir\AGA-ONE1\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE1\Température Extérieure.csv,Agadir\AGA-ONE1\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Etat CLIM A.csv,Agadir\AGA-ONE2\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Etat CLIM B.csv,Agadir\AGA-ONE2\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Etat CLIM C.csv,Agadir\AGA-ONE2\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Etat CLIM D.csv,Agadir\AGA-ONE2\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Etat Porte.csv,Agadir\AGA-ONE2\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\P.Active CLIM.csv,Agadir\AGA-ONE2\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-ONE2\P.Active Générale.csv,Agadir\AGA-ONE2\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\AGA-ONE2\Température Ambiante.csv,Agadir\AGA-ONE2\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\AGA-ONE2\Température Extérieure.csv,Agadir\AGA-ONE2\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Etat CLIM A.csv,Agadir\GLA-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Etat CLIM B.csv,Agadir\GLA-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Etat CLIM C.csv,Agadir\GLA-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Etat CLIM D.csv,Agadir\GLA-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Etat Porte.csv,Agadir\GLA-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\P.Active CLIM.csv,Agadir\GLA-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\GLA-ONE\P.Active Générale.csv,Agadir\GLA-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\GLA-ONE\Température Ambiante.csv,Agadir\GLA-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\GLA-ONE\Température Extérieure.csv,Agadir\GLA-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Agadir\GLM-ONE\Etat CLIM A.csv,Agadir\GLM-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\GLM-ONE\Etat CLIM B.csv,Agadir\GLM-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\GLM-ONE\Etat Porte.csv,Agadir\GLM-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\GLM-ONE\P.Active CLIM.csv,Agadir\GLM-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\GLM-ONE\P.Active Générale.csv,Agadir\GLM-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\GLM-ONE\Température Ambiante.csv,Agadir\GLM-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\GLM-ONE\Température Extérieure.csv,Agadir\GLM-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Agadir\TNT-ONE\Etat CLIM A.csv,Agadir\TNT-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Agadir\TNT-ONE\Etat CLIM B.csv,Agadir\TNT-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Agadir\TNT-ONE\Etat Porte.csv,Agadir\TNT-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Agadir\TNT-ONE\P.Active CLIM.csv,Agadir\TNT-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\TNT-ONE\P.Active Générale.csv,Agadir\TNT-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Agadir\TNT-ONE\Température Ambiante.csv,Agadir\TNT-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Agadir\TNT-ONE\Température Extérieure.csv,Agadir\TNT-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM A.csv,Casablanca\BEN-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM B.csv,Casablanca\BEN-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM C.csv,Casablanca\BEN-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM D.csv,Casablanca\BEN-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM E.csv,Casablanca\BEN-MCO\Etat CLIM E.csv,Etat_CLIM_E,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat CLIM F.csv,Casablanca\BEN-MCO\Etat CLIM F.csv,Etat_CLIM_F,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Etat Porte.csv,Casablanca\BEN-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\P.Active CLIM.csv,Casablanca\BEN-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Casablanca\BEN-MCO\P.Active Générale.csv,Casablanca\BEN-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Casablanca\BEN-MCO\Température Ambiante.csv,Casablanca\BEN-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-MCO\Température Extérieure.csv,Casablanca\BEN-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Etat CLIM A.csv,Casablanca\BEN-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Etat CLIM B.csv,Casablanca\BEN-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Etat CLIM C.csv,Casablanca\BEN-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Etat CLIM D.csv,Casablanca\BEN-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Etat Porte.csv,Casablanca\BEN-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\P.Active CLIM.csv,Casablanca\BEN-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Casablanca\BEN-ONE\P.Active Générale.csv,Casablanca\BEN-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Casablanca\BEN-ONE\Température Ambiante.csv,Casablanca\BEN-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Casablanca\BEN-ONE\Température Extérieure.csv,Casablanca\BEN-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Casablanca\BER-MCO\Etat CLIM A.csv,Casablanca\BER-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
